original_seq	label	blocks
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_62dRAX-F	A,Bx58-74,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_62dRAX-F,79dCRX-F	A,Bx58-74,C,Dx75-89,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_79dCRX-F	A,B,C,Dx75-89,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_62dRAX-F,79dCRX-F_v2	A,Bx58-74,C,Dx75-89,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_62dRAX-F_v2	A,Bx58-74,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_79dCRX-F_v3	A,B,C,Dx75-89,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_moveBF-swapDF	A,F,C,d,E,f,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_moveBF-swapF	A,F,C,D,E,f,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_otherRearranged-swapBD	A,f,C,d,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer1-20Scramble1	Ax0-20,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer1-20Scramble3	Ax0-20,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer1-20Scramble5	Ax0-20,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer1-58Scramble1	Ax0-58,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer1-58Scramble5	Ax0-58,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer100-119Scramble1	A,B,C,D,E,Fx99-108,Gx108-119
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer100-119Scramble3	A,B,C,D,E,Fx99-108,Gx108-119
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer100-119Scramble5	A,B,C,D,E,Fx99-108,Gx108-119
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer11-30Scramble2	Ax10-30,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer11-30Scramble4	Ax10-30,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer110-129Scramble2	A,B,C,D,E,F,Gx109-129
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer110-129Scramble4	A,B,C,D,E,F,Gx109-129
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer120-139Scramble1	A,B,C,D,E,F,Gx119-139
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer120-139Scramble3	A,B,C,D,E,F,Gx119-139
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer120-139Scramble5	A,B,C,D,E,F,Gx119-139
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer130-149Scramble2	A,B,C,D,E,F,Gx129-149
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer130-149Scramble4	A,B,C,D,E,F,Gx129-149
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer140-159Scramble1	A,B,C,D,E,F,Gx139-159
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer140-159Scramble3	A,B,C,D,E,F,Gx139-159
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer140-159Scramble5	A,B,C,D,E,F,Gx139-159
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer145-164Scramble2	A,B,C,D,E,F,Gx144-164
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer145-164Scramble4	A,B,C,D,E,F,Gx144-164
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer21-40Scramble1	Ax20-40,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer21-40Scramble3	Ax20-40,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer21-40Scramble5	Ax20-40,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer31-50Scramble2	Ax30-50,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer31-50Scramble4	Ax30-50,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer39-58Scramble1	Ax38-58,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer39-58Scramble3	Ax38-58,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer39-58Scramble5	Ax38-58,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer90-109Scramble2	A,B,C,D,Ex89-98,Fx98-108,Gx108-109
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer90-109Scramble4	A,B,C,D,Ex89-98,Fx98-108,Gx108-109
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer90-164Scramble2	A,B,C,D,Ex89-98,Fx98-108,Gx108-164
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer90-164Scramble4	A,B,C,D,Ex89-98,Fx98-108,Gx108-164
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_swapBFD	A,b,C,d,E,f,G
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_moveBF	a,f,c,d,e,b,g
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_moveBF-swapB	a,B,c,d,e,b,g
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_moveBF-swapD	a,f,c,D,e,b,g
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_swapA	A,b,c,d,e,f,g
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_swapACE	A,b,C,d,E,f,g
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_swapACG	A,b,C,d,e,f,G
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_swapAEG	A,b,c,d,E,f,G
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_swapAG	A,b,c,d,e,f,G
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_swapBF	a,B,c,d,e,F,g
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_swapCE	a,b,C,d,E,f,g
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_swapCEG	a,b,C,d,E,f,G
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_swapCG	a,b,C,d,e,f,G
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_swapE	a,b,c,d,E,f,g
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_swapEG	a,b,c,d,E,f,G
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_swapG	a,b,c,d,e,f,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_62dRAX-F,79dCRX-F_v3	A,Bx58-74,C,Dx75-89,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_62dRAX-F_v3	A,Bx58-74,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_79dCRX-F_v2	A,B,C,Dx75-89,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_moveBF	A,F,C,D,E,B,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_moveBF-swapD	A,F,C,d,E,B,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_otherRearranged-swapB	A,f,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer1-20Scramble2	Ax0-20,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer1-20Scramble4	Ax0-20,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer1-58Scramble2	Ax0-58,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer1-58Scramble4	Ax0-58,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer100-119Scramble2	A,B,C,D,E,Fx99-108,Gx108-119
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer100-119Scramble4	A,B,C,D,E,Fx99-108,Gx108-119
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer11-30Scramble1	Ax10-30,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer11-30Scramble3	Ax10-30,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer11-30Scramble5	Ax10-30,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer110-129Scramble1	A,B,C,D,E,F,Gx109-129
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer110-129Scramble3	A,B,C,D,E,F,Gx109-129
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer110-129Scramble5	A,B,C,D,E,F,Gx109-129
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer120-139Scramble2	A,B,C,D,E,F,Gx119-139
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer120-139Scramble4	A,B,C,D,E,F,Gx119-139
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer130-149Scramble1	A,B,C,D,E,F,Gx129-149
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer130-149Scramble3	A,B,C,D,E,F,Gx129-149
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer130-149Scramble5	A,B,C,D,E,F,Gx129-149
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer140-159Scramble2	A,B,C,D,E,F,Gx139-159
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer140-159Scramble4	A,B,C,D,E,F,Gx139-159
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer145-164Scramble1	A,B,C,D,E,F,Gx144-164
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer145-164Scramble5	A,B,C,D,E,F,Gx144-164
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer21-40Scramble2	Ax20-40,B,C,D,E,F,G
