original_seq	label	motif_name_and_original_position	position_moved_to	is_moved_5prime
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-1	CRX_44	1.0	True
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-100	CRX_44	100.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-102	CRX_44	102.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-104	CRX_44	104.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-106	CRX_44	106.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-108	CRX_44	108.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-11	CRX_44	11.0	True
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-110	CRX_44	110.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-112	CRX_44	112.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-114	CRX_44	114.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-116	CRX_44	116.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-118	CRX_44	118.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-120	CRX_44	120.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-122	CRX_44	122.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-124	CRX_44	124.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-126	CRX_44	126.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-128	CRX_44	128.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-13	CRX_44	13.0	True
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-130	CRX_44	130.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-132	CRX_44	132.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-134	CRX_44	134.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-136	CRX_44	136.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-138	CRX_44	138.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-140	CRX_44	140.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-142	CRX_44	142.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-144	CRX_44	144.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-146	CRX_44	146.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-148	CRX_44	148.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-15	CRX_44	15.0	True
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-150	CRX_44	150.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-154	CRX_44	154.0	False
chr1-191821242-191821406_CPPP	chr1-191821242-191821406_CPPP_WT;HAND_45mCRX-156	CRX_44	156.0	False
